                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1658,                  3.088,                 1.9402,                0.63331,                0.33447,                0.30875,                0.14688,                 1.6866,                 1.8375,                 1.4913,               0.070112,              0.0033209,              0.0033209
                      1,                 1.8075,                 1.9639,                 1.5564,                0.23854,                0.30629,                 0.2161,                0.10311,                 1.7464,                 2.0476,                 1.5662,               0.040046,              0.0065884,              0.0065884
                      2,                 1.8553,                 2.0002,                  1.575,                0.55923,                0.32702,                0.28389,                  0.136,                 1.7045,                 1.9732,                 1.5277,              0.0099142,              0.0097898,              0.0097898
                      3,                 1.8973,                 2.0507,                 1.6366,                0.31934,                0.31963,                0.27289,                0.12374,                 1.8034,                 1.8171,                 1.6235,               0.009703,               0.009703,               0.009703
                      4,                 1.8702,                 2.0051,                 1.6375,                0.57388,                0.29254,                 0.2497,                0.11552,                 1.7899,                 2.0547,                  1.656,               0.009703,               0.009703,               0.009703
                      5,                 1.8313,                 1.9153,                 1.6179,                0.60871,                 0.3122,                 0.3007,                0.14408,                 1.7012,                 1.8736,                 1.5864,               0.009604,               0.009604,               0.009604
                      6,                 1.8056,                 1.9043,                 1.6072,                0.64506,                0.36702,                0.35227,                0.17962,                 1.6482,                 1.6323,                 1.5537,               0.009505,               0.009505,               0.009505
                      7,                 1.7761,                 1.8575,                 1.5884,                0.58935,                0.32829,                0.28655,                0.14162,                 1.6628,                 1.7594,                 1.5694,               0.009406,               0.009406,               0.009406
                      8,                 1.7495,                 1.8138,                 1.5687,                0.35486,                 0.3976,                0.35331,                0.18144,                 1.6181,                 1.6683,                  1.544,               0.009307,               0.009307,               0.009307
                      9,                  1.727,                 1.7796,                 1.5536,                0.62144,                0.31225,                0.30682,                0.14984,                 1.7697,                 1.9341,                 1.6759,               0.009208,               0.009208,               0.009208
                     10,                 1.7236,                 1.7643,                 1.5512,                0.42181,                0.39866,                0.38372,                0.19763,                 1.5627,                 1.6544,                 1.5045,               0.009109,               0.009109,               0.009109
                     11,                 1.6923,                 1.7334,                 1.5372,                0.62959,                0.40746,                0.40461,                0.20858,                  1.526,                 1.5739,                 1.4991,                0.00901,                0.00901,                0.00901
                     12,                 1.6894,                 1.7142,                 1.5271,                0.64251,                0.42502,                0.39556,                0.20431,                 1.5518,                 1.5591,                  1.483,               0.008911,               0.008911,               0.008911
                     13,                 1.6852,                 1.7027,                 1.5325,                0.39801,                0.42531,                0.39498,                 0.2058,                 1.5185,                 1.5002,                 1.4672,               0.008812,               0.008812,               0.008812
                     14,                 1.6522,                 1.6502,                 1.5019,                 0.3844,                0.41296,                0.40928,                0.21068,                  1.563,                  1.503,                 1.4913,               0.008713,               0.008713,               0.008713
                     15,                 1.6578,                  1.664,                  1.516,                 0.6599,                0.39041,                 0.3917,                0.20193,                 1.5898,                  1.558,                 1.5167,               0.008614,               0.008614,               0.008614
                     16,                 1.6328,                 1.6425,                  1.504,                0.45877,                0.46368,                0.41357,                0.21326,                 1.5268,                 1.4729,                 1.4695,               0.008515,               0.008515,               0.008515
                     17,                 1.6262,                  1.624,                 1.4927,                0.41601,                0.51351,                0.44195,                0.22269,                 1.5285,                 1.4804,                 1.4935,               0.008416,               0.008416,               0.008416
                     18,                 1.6341,                 1.6239,                  1.508,                0.44428,                 0.4385,                0.43439,                0.23946,                 1.4932,                 1.4399,                 1.4699,               0.008317,               0.008317,               0.008317
                     19,                 1.6233,                 1.6077,                 1.4863,                0.43222,                0.41972,                0.42481,                0.22598,                 1.5261,                 1.5076,                 1.4951,               0.008218,               0.008218,               0.008218
